shrub_cover,NDVI,slope,elevation,aspect,solar,log_odds
0.0361631,0.223473,1.82533,696,281.3099976,379617,7.261110899
0.0193936,0.251277,4.0760598,709,217.875,381361,6.386397664
0.0193936,0.251277,4.0760598,709,217.875,381361,7.327650027
0.0193936,0.251277,4.0760598,709,217.875,381361,6.297679828
0.0138688,0.252685,3.8510301,710,201.8009949,381700,6.988406867
0.0014836,0.250619,3.5404799,709,225,381179,6.046912323
0.0014836,0.250619,3.5404799,709,225,381179,7.365522326
0.0087481,0.256817,3.5404799,710,225,381231,6.162029526
0.0087481,0.256817,3.5404799,710,225,381231,6.758928365
0.0087481,0.256817,3.5404799,710,225,381231,6.79500199
0.0087481,0.256817,3.5404799,710,225,381231,6.508321278
0.0087481,0.256817,3.5404799,710,225,381231,6.965758309
0.0087481,0.256817,3.5404799,710,225,381231,6.488377054
0.0087481,0.256817,3.5404799,710,225,381231,7.493224202
0.0087481,0.256817,3.5404799,710,225,381231,7.4377726
0.0087481,0.256817,3.5404799,710,225,381231,5.479038278
0.0087481,0.256817,3.5404799,710,225,381231,8.635966585
0.0087481,0.256817,3.5404799,710,225,381231,6.515632381
0.0087481,0.256817,3.5404799,710,225,381231,6.280192176
0.0087481,0.256817,3.5404799,710,225,381231,6.355484963
0.0087481,0.256817,3.5404799,710,225,381231,8.781399437
0.0087481,0.256817,3.5404799,710,225,381231,7.370509213
0.0305837,0.258986,2.0871301,711,210.9640045,381318,7.234418374
0.0064759,0.250793,1.4321001,711,180,381206,7.189829879
0.0083836,0.25082,3.0357201,711,225,381260,6.946358558
0.0083836,0.25082,3.0357201,711,225,381260,6.770914025
0.0083836,0.25082,3.0357201,711,225,381260,8.159577392
0.0162573,0.252405,1.82533,711,191.3099976,381302,6.28486709
0.0162573,0.252405,1.82533,711,191.3099976,381302,6.626677199
0.0162573,0.252405,1.82533,711,191.3099976,381302,6.592099004
0.0162573,0.252405,1.82533,711,191.3099976,381302,7.956177555
0.0162573,0.252405,1.82533,711,191.3099976,381302,5.892533371
0.0162573,0.252405,1.82533,711,191.3099976,381302,5.338517362
0.0678083,0.195559,2.8624101,683,270,378952,7.263112746
0.0139689,0.251907,1.13226,712,198.4349976,381108,4.733464411
0.0139689,0.251907,1.13226,712,198.4349976,381108,6.242174358
8.29E-04,0.251355,1.51893,712,135,381003,4.792476486
0.057847,0.23007,4.5202298,715,251.5650024,380217,4.522481617
0.0916003,0.213836,2.5304899,682,171.8699951,380277,9.329437707
