FID,uniID,SumAllYr,Sum2018,Sum2017,Sum2016,x_utm,y_utm,x_wgs,y_wgs,Aspect,Slope,Elev,KDF,Shrub_Cov,NDVI,Solar
0,57292,0,0,0,0,260681.501500000013039,3890101.450300000142306,-119.626332000000005,35.125357000000001,243.4349976,1.6010500,727.000000000000000,0.0000000,0.0089031,0.2169410,381232.000000000000000
1,35741,0,0,0,0,261261.501500000013039,3888801.450300000142306,-119.619597999999996,35.113785000000000,180.0000000,1.4321001,725.000000000000000,0.0036399,0.0074545,0.2245920,381745.000000000000000
2,45948,0,0,0,0,259561.501500000013039,3889421.450300000142306,-119.638413999999997,35.118965000000003,225.0000000,2.0248699,684.000000000000000,0.0000000,0.0088505,0.2238530,379984.000000000000000
3,36704,0,0,0,0,260601.501500000013039,3888861.450300000142306,-119.626850000000005,35.114167999999999,261.8699951,2.5304899,700.000000000000000,0.0000445,0.0283325,0.2168060,379933.000000000000000
4,45063,0,0,0,0,261781.501500000013039,3889361.450300000142306,-119.614058999999997,35.118952000000000,270.0000000,1.4321001,748.000000000000000,0.0000000,0.0167862,0.2584380,381462.000000000000000
5,40367,1,0,1,0,260821.501500000013039,3889081.450300000142306,-119.624502000000007,35.116202000000001,251.5650024,1.1322600,709.000000000000000,0.0025294,0.0128435,0.2292730,380520.000000000000000
6,39034,0,0,0,0,260721.501500000013039,3889001.450300000142306,-119.625574999999998,35.115457999999997,243.4349976,3.1996000,705.000000000000000,0.0019977,0.0344432,0.2336330,380515.000000000000000
7,47292,0,0,0,0,259881.501500000013039,3889501.450300000142306,-119.634929000000000,35.119762000000001,201.8009949,3.8510301,696.000000000000000,0.0001000,0.0008915,0.2319280,381214.000000000000000
8,50628,0,0,0,0,260201.501500000013039,3889701.450300000142306,-119.631478999999999,35.121639999999999,270.0000000,2.1475899,706.000000000000000,0.0000000,0.0202751,0.2170540,380126.000000000000000
9,57249,0,0,0,0,259821.501500000013039,3890101.450300000142306,-119.635761000000002,35.125152000000000,45.0000000,0.5064150,701.000000000000000,0.0002764,0.0261586,0.2181600,379872.000000000000000
10,32071,0,0,0,0,260901.501500000013039,3888581.450300000142306,-119.623480999999998,35.111718000000003,201.8009949,3.8510301,709.000000000000000,0.0007961,0.0277724,0.2438500,381584.000000000000000
11,51032,0,0,0,0,261641.501500000013039,3889721.450300000142306,-119.615696999999997,35.122162000000003,272.4899902,8.1878500,762.000000000000000,0.0000000,0.0147453,0.1701670,378670.000000000000000
12,53309,0,0,0,0,260701.501500000013039,3889861.450300000142306,-119.626042999999996,35.123199999999997,251.5650024,3.3932500,725.000000000000000,0.0000000,0.0280576,0.2516360,380974.000000000000000
13,51944,0,0,0,0,259961.501500000013039,3889781.450300000142306,-119.634133000000006,35.122303000000002,198.4349976,1.1322600,697.000000000000000,0.0000000,0.0067317,0.2250990,380436.000000000000000
14,48360,0,0,0,0,261321.501500000013039,3889561.450300000142306,-119.619158999999996,35.120645000000003,338.9620056,9.8764696,745.000000000000000,0.0000000,0.0000214,0.1834650,371122.000000000000000
15,44980,0,0,0,0,260121.501500000013039,3889361.450300000142306,-119.632256999999996,35.118558000000000,278.1300049,2.5304899,694.000000000000000,0.0025866,0.0332523,0.1827200,379179.000000000000000
16,31720,0,0,0,0,260521.501500000013039,3888561.450300000142306,-119.627640000000000,35.111446999999998,261.8699951,2.5304899,696.000000000000000,0.0000000,0.0305156,0.2282900,379654.000000000000000
17,42679,2,1,1,0,260581.501500000013039,3889221.450300000142306,-119.627173999999997,35.117407000000000,164.0549927,5.1996698,705.000000000000000,0.0040051,0.0015175,0.2494700,381359.000000000000000
18,59294,0,0,0,0,260881.501500000013039,3890221.450300000142306,-119.624173999999996,35.126486000000000,220.9140015,7.0719199,738.000000000000000,0.0000000,0.0018064,0.2280370,381819.000000000000000
19,46066,0,0,0,0,261921.501500000013039,3889421.450300000142306,-119.612540999999993,35.119526000000000,250.0169983,8.3238201,758.000000000000000,0.0000000,0.0004301,0.2322240,380252.000000000000000
20,45075,0,0,0,0,262021.501500000013039,3889361.450300000142306,-119.611427000000006,35.119008999999998,194.0359955,8.7892704,768.000000000000000,0.0000000,0.0408296,0.1980440,383123.000000000000000
21,43090,0,0,0,0,262161.501500000013039,3889241.450300000142306,-119.609858000000003,35.117961000000001,311.6340027,8.5599003,774.000000000000000,0.0000000,0.0282120,0.2436340,375207.000000000000000
22,34418,0,0,0,0,261361.501500000013039,3888721.450300000142306,-119.618477999999996,35.113087999999998,225.0000000,2.5304899,724.000000000000000,0.0000000,0.0739884,0.2392090,381566.000000000000000
23,34406,0,0,0,0,261121.501500000013039,3888721.450300000142306,-119.621109000000004,35.113030999999999,281.3099976,1.8253300,720.000000000000000,0.0007683,0.0379191,0.2425400,380473.000000000000000
