status,Shrub_Cov,NDVI,Slope,Elev,Aspect,Solar,value
0,0.0091297,0.247642,3.5763299,708,216.8699951,381311,0.999353512070636
0,0.0193936,0.251277,4.0760598,709,217.875,381361,0.9993590839199693
0,0.0242708,0.225345,2.7251401,697,246.8009949,380243,0.9999266665328331
0,0.0138688,0.252685,3.8510301,710,201.8009949,381700,0.999213711029817
0,0.040374,0.232097,0.506415,698,225,380256,0.9998694652841481
0,0.0014836,0.250619,3.5404799,709,225,381179,0.9990525771853342
0,0.0199742,0.216617,1.13226,692,288.4349976,379499,0.9999545491594986
0,0.0091297,0.247642,3.5763299,708,216.8699951,381311,0.999353512070636
0,0.020257,0.233315,1.60105,698,63.4348984,379454,0.9998365248565232
0,0.0358798,0.231708,3.1996000000000002,698,296.5650024,378628,0.9998495568420227
0,0.0183818,0.228632,5.2723298,699,298.3009949,377059,0.9997088516893241
0,0.0241793,0.226091,5.0511498,701,225,380606,0.9998984698853375
0,0.0028879,0.232468,3.0775199,703,234.4620056,380742,0.99969516527066
0,0.0460644,0.212512,1.4321001,692,90,379645,0.9999698631417279
0,0.0451433,0.21371,0,691,-1,379475,0.9999657586120223
0,0.0014927,0.250303,1.13226,711,161.5650024,380968,0.9968765869842121
0,0.0042299,0.215901,4.0760598,684,142.125,380193,0.9999978305809624
0,0.0234524,0.237201,1.82533,703,191.3099976,380996,0.9997137133747831
0,0.0270045,0.231818,1.13226,704,161.5650024,380768,0.9995075855155676
0,0.0210706,0.22507,1.82533,704,191.3099976,381065,0.9995859965467174
0,0.0351414,0.212124,2.95035,683,165.9640045,380389,0.9999984479334947
0,0.0832898,0.211815,3.64697,692,11.3099003,376972,0.9999600223520366
0,0.0605698,0.212506,2.5304899,691,351.8699951,377763,0.9999613464096269
0,0.0549485,0.222637,4.2891502,693,270,378758,0.9999741624843818
0,0.0457444,0.228195,4.2891502,697,270,379034,0.999931222959151
0,0.0652232,0.23857,2.5304899,696,351.8699951,377916,0.9998969844251275
0,0.0099286,0.21524,2.5304899,685,135,380032,0.9999957908286135
0,0.0022114,0.24323,2.0248699,702,225,380821,0.9997351400510013
0,0.0096643,0.244594,3.8510301,702,201.8009949,381387,0.999879456584107
0,0.040374,0.232097,0.506415,698,225,380256,0.9998694652841481
0,0.0107307,0.213517,2.0871301,685,120.9639969,379625,0.9999943559190431
0,0.0255199,0.229111,1.4321001,704,270,380131,0.999346088386948
0,0.0418818,0.232742,3.39325,712,251.5650024,380532,0.9976543085028322
0,0.0093019,0.257522,2.5304899,721,225,381583,0.9789380121934714
