pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
1,1,2.14.2018,1,1,1,noshade,Salvia colombriae,JB,0,,,,
2,1,,2,1,1,noshade,Salvia colombriae,,0,,,,
3,1,,3,1,1,noshade,Salvia colombriae,,0,,,,
4,1,,4,1,1,noshade,Salvia colombriae,,2,18,4,,
4,1,,4,1,1,noshade,Salvia colombriae,,2,25,4,,
5,1,,5,1,1,noshade,Salvia colombriae,,0,,,,
6,1,,6,1,1,noshade,Salvia colombriae,,0,,,,
7,1,,7,1,1,noshade,Salvia colombriae,,0,,,,
8,1,,8,1,1,noshade,Salvia colombriae,,1,20,4,,
9,1,,9,1,1,noshade,Salvia colombriae,,0,,,,
10,1,,10,1,1,noshade,Salvia colombriae,,0,,,,
11,1,,11,1,1,noshade,Salvia colombriae,,0,,,,
12,1,,12,1,1,noshade,Salvia colombriae,,0,,,,
13,1,,1,1,2,noshade,Salvia colombriae,,1,24,4,,
13,1,,1,2,2,noshade,Salvia colombriae,,,,,,
14,1,,2,1,2,noshade,Salvia colombriae,,1,20,4,,
14,1,,2,2,2,noshade,Salvia colombriae,,,,,,
15,1,,3,1,2,noshade,Salvia colombriae,,0,,,,
15,1,,3,2,2,noshade,Salvia colombriae,,,,,,
16,1,,4,1,2,noshade,Salvia colombriae,,1,20,4,,
16,1,,4,2,2,noshade,Salvia colombriae,,,,,,
17,1,,5,1,2,noshade,Salvia colombriae,,2,21,4,,
17,1,,5,2,2,noshade,Salvia colombriae,,2,20,4,,
18,1,,6,1,2,noshade,Salvia colombriae,,0,,,,
18,1,,6,2,2,noshade,Salvia colombriae,,,,,,
19,1,,7,1,2,noshade,Salvia colombriae,,0,,,,
19,1,,7,2,2,noshade,Salvia colombriae,,,,,,
20,1,,8,1,2,noshade,Salvia colombriae,,1,14,4,,
20,1,,8,2,2,noshade,Salvia colombriae,,,,,,
21,1,,9,1,2,noshade,Salvia colombriae,,2,20,4,,
21,1,,9,2,2,noshade,Salvia colombriae,,2,28,4,,
22,1,,10,1,2,noshade,Salvia colombriae,,0,,,,
22,1,,10,2,2,noshade,Salvia colombriae,,,,,,
23,1,,11,1,2,noshade,Salvia colombriae,,0,,,,
23,1,,11,2,2,noshade,Salvia colombriae,,,,,,
24,1,,12,1,2,noshade,Salvia colombriae,,0,,,,
24,1,,12,2,2,noshade,Salvia colombriae,,,,,,
25,1,,1,1,5,noshade,Salvia colombriae,,1,19,4,,
25,1,,1,2,5,noshade,Salvia colombriae,,,,,,
25,1,,1,3,5,noshade,Salvia colombriae,,,,,,
