poll_id_07,year,ed_id,ed_name,poll_id_11,master_id,overlap_max
10.001.,2007,10,BRUCE--GREY--OWEN SOUND,10.1.,10.001.10.1.,0.99999982
10.001.,2011,10,BRUCE--GREY--OWEN SOUND,10.1.,10.001.10.1.,0.99999982
10.002.,2007,10,BRUCE--GREY--OWEN SOUND,10.1.,10.002.10.1.,0.999997983
10.002.,2011,10,BRUCE--GREY--OWEN SOUND,10.1.,10.002.10.1.,0.999997983
10.003.,2007,10,BRUCE--GREY--OWEN SOUND,10.2.,10.003.10.2.,0.991443607
10.003.,2011,10,BRUCE--GREY--OWEN SOUND,10.2.,10.003.10.2.,0.991443607
10.004.,2007,10,BRUCE--GREY--OWEN SOUND,10.1.,10.004.10.1.,0.999745985
10.004.,2011,10,BRUCE--GREY--OWEN SOUND,10.1.,10.004.10.1.,0.999745985
10.005.,2007,10,BRUCE--GREY--OWEN SOUND,10.3.,10.005.10.3.,0.999999924
10.005.,2011,10,BRUCE--GREY--OWEN SOUND,10.3.,10.005.10.3.,0.999999924
10.006.,2007,10,BRUCE--GREY--OWEN SOUND,10.2.,10.006.10.2.,0.999957701
10.006.,2011,10,BRUCE--GREY--OWEN SOUND,10.2.,10.006.10.2.,0.999957701
10.007.,2007,10,BRUCE--GREY--OWEN SOUND,10.3.,10.007.10.3.,0.999999948
10.007.,2011,10,BRUCE--GREY--OWEN SOUND,10.3.,10.007.10.3.,0.999999948
10.008.,2007,10,BRUCE--GREY--OWEN SOUND,10.5.,10.008.10.5.,1
10.008.,2011,10,BRUCE--GREY--OWEN SOUND,10.5.,10.008.10.5.,1
10.009s.,2007,10,BRUCE--GREY--OWEN SOUND,10.700.,10.009s.10.700.,1
10.009s.,2011,10,BRUCE--GREY--OWEN SOUND,10.700.,10.009s.10.700.,1
10.010.,2007,10,BRUCE--GREY--OWEN SOUND,10.6.,10.010.10.6.,1
10.010.,2011,10,BRUCE--GREY--OWEN SOUND,10.6.,10.010.10.6.,1
10.012.,2007,10,BRUCE--GREY--OWEN SOUND,10.4.,10.012.10.4.,1
10.012.,2011,10,BRUCE--GREY--OWEN SOUND,10.4.,10.012.10.4.,1
10.013.,2007,10,BRUCE--GREY--OWEN SOUND,10.8.,10.013.10.8.,0.999999999
10.013.,2011,10,BRUCE--GREY--OWEN SOUND,10.8.,10.013.10.8.,0.999999999
10.014.,2007,10,BRUCE--GREY--OWEN SOUND,10.4.,10.014.10.4.,0.681489315
10.014.,2011,10,BRUCE--GREY--OWEN SOUND,10.4.,10.014.10.4.,0.681489315
10.015.,2007,10,BRUCE--GREY--OWEN SOUND,10.12.,10.015.10.12.,1
10.015.,2011,10,BRUCE--GREY--OWEN SOUND,10.12.,10.015.10.12.,1
10.016.,2007,10,BRUCE--GREY--OWEN SOUND,10.7.,10.016.10.7.,0.999999931
10.016.,2011,10,BRUCE--GREY--OWEN SOUND,10.7.,10.016.10.7.,0.999999931
10.017.,2007,10,BRUCE--GREY--OWEN SOUND,10.9.,10.017.10.9.,0.999999974
10.017.,2011,10,BRUCE--GREY--OWEN SOUND,10.9.,10.017.10.9.,0.999999974
10.018.,2007,10,BRUCE--GREY--OWEN SOUND,10.9.,10.018.10.9.,0.705846427
10.018.,2011,10,BRUCE--GREY--OWEN SOUND,10.9.,10.018.10.9.,0.705846427
10.019.,2007,10,BRUCE--GREY--OWEN SOUND,10.10.,10.019.10.10.,0.999999941
10.019.,2011,10,BRUCE--GREY--OWEN SOUND,10.10.,10.019.10.10.,0.999999941
10.020.,2007,10,BRUCE--GREY--OWEN SOUND,10.11.,10.020.10.11.,1
10.020.,2011,10,BRUCE--GREY--OWEN SOUND,10.11.,10.020.10.11.,1
10.021.,2007,10,BRUCE--GREY--OWEN SOUND,10.32.,10.021.10.32.,0.644162322
10.021.,2011,10,BRUCE--GREY--OWEN SOUND,10.32.,10.021.10.32.,0.644162322
10.022.,2007,10,BRUCE--GREY--OWEN SOUND,10.32.,10.022.10.32.,1
10.022.,2011,10,BRUCE--GREY--OWEN SOUND,10.32.,10.022.10.32.,1
10.023.,2007,10,BRUCE--GREY--OWEN SOUND,10.33.,10.023.10.33.,0.999999966
10.023.,2011,10,BRUCE--GREY--OWEN SOUND,10.33.,10.023.10.33.,0.999999966
10.024.,2007,10,BRUCE--GREY--OWEN SOUND,10.13.,10.024.10.13.,0.999999675
10.024.,2011,10,BRUCE--GREY--OWEN SOUND,10.13.,10.024.10.13.,0.999999675
10.025.,2007,10,BRUCE--GREY--OWEN SOUND,10.13.,10.025.10.13.,0.999999005
10.025.,2011,10,BRUCE--GREY--OWEN SOUND,10.13.,10.025.10.13.,0.999999005
10.026.,2007,10,BRUCE--GREY--OWEN SOUND,10.13.,10.026.10.13.,0.999998987
10.026.,2011,10,BRUCE--GREY--OWEN SOUND,10.13.,10.026.10.13.,0.999998987
10.027.,2007,10,BRUCE--GREY--OWEN SOUND,10.14.,10.027.10.14.,0.997546183
10.027.,2011,10,BRUCE--GREY--OWEN SOUND,10.14.,10.027.10.14.,0.997546183
10.028.,2007,10,BRUCE--GREY--OWEN SOUND,10.16.,10.028.10.16.,0.999998886
10.028.,2011,10,BRUCE--GREY--OWEN SOUND,10.16.,10.028.10.16.,0.999998886
10.029.,2007,10,BRUCE--GREY--OWEN SOUND,10.15.,10.029.10.15.,0.999998298
10.029.,2011,10,BRUCE--GREY--OWEN SOUND,10.15.,10.029.10.15.,0.999998298
10.031.,2007,10,BRUCE--GREY--OWEN SOUND,10.15.,10.031.10.15.,0.835165507
10.031.,2011,10,BRUCE--GREY--OWEN SOUND,10.15.,10.031.10.15.,0.835165507
10.032.,2007,10,BRUCE--GREY--OWEN SOUND,10.18.,10.032.10.18.,0.999999451
10.032.,2011,10,BRUCE--GREY--OWEN SOUND,10.18.,10.032.10.18.,0.999999451
10.034.,2007,10,BRUCE--GREY--OWEN SOUND,10.17.,10.034.10.17.,0.99999998
10.034.,2011,10,BRUCE--GREY--OWEN SOUND,10.17.,10.034.10.17.,0.99999998
10.035s.,2007,10,BRUCE--GREY--OWEN SOUND,10.702.,10.035s.10.702.,1
10.035s.,2011,10,BRUCE--GREY--OWEN SOUND,10.702.,10.035s.10.702.,1
10.036.,2007,10,BRUCE--GREY--OWEN SOUND,10.29.,10.036.10.29.,1
10.036.,2011,10,BRUCE--GREY--OWEN SOUND,10.29.,10.036.10.29.,1
10.037.,2007,10,BRUCE--GREY--OWEN SOUND,10.13.,10.037.10.13.,0.736156087
10.037.,2011,10,BRUCE--GREY--OWEN SOUND,10.13.,10.037.10.13.,0.736156087
10.038.,2007,10,BRUCE--GREY--OWEN SOUND,10.31.,10.038.10.31.,0.99999987
10.038.,2011,10,BRUCE--GREY--OWEN SOUND,10.31.,10.038.10.31.,0.99999987
